"date","update","ADM1_TH","new_case","total_case","new_death","total_death","ADM1_EN","ADM1_PCODE","Population"
2020-01-31,1,"กระบี่",0,0,0,0,"Krabi","TH81",347995
2020-01-31,1,"กรุงเทพมหานคร",13,13,0,0,"Bangkok","TH10",10709136
2020-01-31,1,"กาญจนบุรี",0,0,0,0,"Kanchanaburi","TH71",778936
2020-01-31,1,"กาฬสินธุ์",0,0,0,0,"Kalasin","TH46",664356
2020-01-31,1,"กำแพงเพชร",0,0,0,0,"Kamphaeng Phet","TH62",842777
2020-01-31,1,"ขอนแก่น",0,0,0,0,"Khon Kaen","TH40",1630099
2020-01-31,1,"จันทบุรี",0,0,0,0,"Chanthaburi","TH22",442591
2020-01-31,1,"ฉะเชิงเทรา",0,0,0,0,"Chachoengsao","TH24",738516
2020-01-31,1,"ชลบุรี",0,0,0,0,"Chon Buri","TH20",2147385
2020-01-31,1,"ชัยนาท",0,0,0,0,"Chai Nat","TH18",234108
2020-01-31,1,"ชัยภูมิ",0,0,0,0,"Chaiyaphum","TH36",764624
2020-01-31,1,"ชุมพร",0,0,0,0,"Chumphon","TH86",441213
2020-01-31,1,"เชียงราย",0,0,0,0,"Chiang Rai","TH57",1089821
2020-01-31,1,"เชียงใหม่",1,1,0,0,"Chiang Mai","TH50",1809819
2020-01-31,1,"ตรัง",0,0,0,0,"Trang","TH92",540949
2020-01-31,1,"ตราด",0,0,0,0,"Trat","TH23",264085
2020-01-31,1,"ตาก",0,0,0,0,"Tak","TH63",510728
2020-01-31,1,"นครนายก",0,0,0,0,"Nakhon Nayok","TH26",227464
2020-01-31,1,"นครปฐม",1,1,0,0,"Nakhon Pathom","TH73",1028904
2020-01-31,1,"นครพนม",0,0,0,0,"Nakhon Phanom","TH48",449625
2020-01-31,1,"นครราชสีมา",0,0,0,0,"Nakhon Ratchasima","TH30",2368321
2020-01-31,1,"นครศรีธรรมราช",0,0,0,0,"Nakhon Si Thammarat","TH80",1260910
2020-01-31,1,"นครสวรรค์",0,0,0,0,"Nakhon Sawan","TH60",826586
2020-01-31,1,"นนทบุรี",2,2,0,0,"Nonthaburi","TH12",1940476
2020-01-31,1,"นราธิวาส",0,0,0,0,"Narathiwat","TH96",610304
2020-01-31,1,"น่าน",0,0,0,0,"Nan","TH55",402916
2020-01-31,1,"บึงกาฬ",0,0,0,0,"Bueng Kan","TH38",306619
2020-01-31,1,"บุรีรัมย์",0,0,0,0,"Buri Ram","TH31",985709
2020-01-31,1,"ปทุมธานี",0,0,0,0,"Pathum Thani","TH13",2352209
2020-01-31,1,"ประจวบคีรีขันธ์",1,1,0,0,"Prachuap Khiri Khan","TH77",454323
2020-01-31,1,"ปราจีนบุรี",0,0,0,0,"Prachin Buri","TH25",669420
2020-01-31,1,"ปัตตานี",0,0,0,0,"Pattani","TH94",557875
2020-01-31,1,"พระนครศรีอยุธยา",0,0,0,0,"Phra Nakhon Si Ayutthaya","TH14",998279
2020-01-31,1,"พะเยา",0,0,0,0,"Phayao","TH56",313682
2020-01-31,1,"พังงา",0,0,0,0,"Phangnga","TH82",254114
2020-01-31,1,"พัทลุง",0,0,0,0,"Phatthalung","TH93",419456
2020-01-31,1,"พิจิตร",0,0,0,0,"Phichit","TH66",475920
2020-01-31,1,"พิษณุโลก",0,0,0,0,"Phitsanulok","TH65",938009
2020-01-31,1,"เพชรบุรี",0,0,0,0,"Phetchaburi","TH76",456851
