"Country","date","update","cases","new_cases","deaths","new_deaths","recovered","new_recovered"
"Australia",2020-01-31,1,9,9,0,0,2,2
"Cambodia",2020-01-31,1,1,1,0,0,0,0
"Canada",2020-01-31,1,4,4,0,0,0,0
"China",2020-01-31,1,9783,9783,213,213,214,214
"Finland",2020-01-31,1,1,1,0,0,0,0
"France",2020-01-31,1,5,5,0,0,0,0
"Germany",2020-01-31,1,5,5,0,0,0,0
"HongKong",2020-01-31,1,12,12,0,0,0,0
"India",2020-01-31,1,1,1,0,0,0,0
"Italy",2020-01-31,1,2,2,0,0,0,0
"Japan",2020-01-31,1,15,15,0,0,1,1
"Macao",2020-01-31,1,7,7,0,0,0,0
"Malaysia",2020-01-31,1,8,8,0,0,0,0
"Nepal",2020-01-31,1,1,1,0,0,0,0
"Philippines",2020-01-31,1,1,1,0,0,0,0
"RepublicofKorea",2020-01-31,1,11,11,0,0,0,0
"Russia",2020-01-31,1,2,2,0,0,0,0
"Singapore",2020-01-31,1,13,13,0,0,0,0
"SriLanka",2020-01-31,1,1,1,0,0,0,0
"Taiwan",2020-01-31,1,10,10,0,0,0,0
"Thailand",2020-01-31,1,19,19,0,0,8,8
"UnitedArabEmirates",2020-01-31,1,4,4,0,0,0,0
"UnitedKingdom",2020-01-31,1,2,2,0,0,0,0
"US",2020-01-31,1,8,8,0,0,0,0
"Vietnam",2020-01-31,1,2,2,0,0,0,0
"Afghanistan",2020-02-29,2,5,5,0,0,0,0
"Algeria",2020-02-29,2,1,1,0,0,0,0
"Australia",2020-02-29,2,25,16,0,0,11,9
"Austria",2020-02-29,2,9,9,0,0,0,0
"Bahrain",2020-02-29,2,41,41,0,0,0,0
"Belarus",2020-02-29,2,1,1,0,0,0,0
"Belgium",2020-02-29,2,1,1,0,0,1,1
"Brazil",2020-02-29,2,2,2,0,0,0,0
"Cambodia",2020-02-29,2,1,0,0,0,1,1
"Canada",2020-02-29,2,21,17,0,0,6,6
"Chile",2020-02-29,2,2,2,0,0,0,0
"China",2020-02-29,2,79251,69468,2835,2622,39279,39065
"Croatia",2020-02-29,2,6,6,0,0,0,0
"Denmark",2020-02-29,2,3,3,0,0,0,0
"DiamondPrincess",2020-02-29,2,705,705,6,6,10,10
"Egypt",2020-02-29,2,1,1,0,0,1,1
"Estonia",2020-02-29,2,1,1,0,0,0,0
"Finland",2020-02-29,2,3,2,0,0,1,1
"France",2020-02-29,2,100,95,2,2,12,12
"Georgia",2020-02-29,2,1,1,0,0,0,0
"Germany",2020-02-29,2,79,74,0,0,16,16
"Greece",2020-02-29,2,4,4,0,0,0,0
"HongKong",2020-02-29,2,95,83,2,2,33,33
"Iceland",2020-02-29,2,1,1,0,0,0,0
